site,config,seed,norm_MSE,norm_MAE,raw_MSE,best_epoch,n_params
79,Kernel,123,0.2324317991733551,0.3447962403297424,2.0651183128356934,9,77266
79,Kernel,456,0.2212674915790558,0.3326287567615509,1.965925693511963,13,77266
79,Kernel,789,0.2745949029922485,0.3854949176311493,2.4397308826446533,8,77266
79,Kernel,2026,0.2986945807933807,0.386395126581192,2.6538524627685547,21,77266
79,Kernel,11,0.2742188572883606,0.3723166584968567,2.436389923095703,14,77266
79,Kernel,22,0.307698130607605,0.4093295931816101,2.733847618103028,10,77266
79,Kernel,33,0.2640767097473144,0.3710522353649139,2.3462789058685303,11,77266
79,Kernel,44,0.2334797978401184,0.3384238481521606,2.074429988861084,13,77266
79,Kernel,55,0.3437296152114868,0.4062806069850921,3.0539815425872803,26,77266
79,Frozen,42,0.1840725541114807,0.308266818523407,1.6354546546936035,15,72184
79,Frozen,123,0.1854634135961532,0.3064613342285156,1.6478124856948853,10,72184
79,Frozen,456,0.1777882426977157,0.2895466089248657,1.5796196460723877,45,72184
79,Frozen,789,0.1765146255493164,0.2996984422206878,1.5683037042617798,20,72184
79,Frozen,2026,0.1993494033813476,0.3310423791408539,1.7711869478225708,14,72184
79,Frozen,11,0.1915094852447509,0.3114552795886993,1.7015304565429688,32,72184
79,Frozen,22,0.1585602313280105,0.2767568826675415,1.408781886100769,24,72184
79,Frozen,33,0.1795011311769485,0.2934231758117676,1.5948383808135986,23,72184
79,Frozen,44,0.1782453954219818,0.2844965159893036,1.5836811065673828,30,72184
79,Frozen,55,0.149326205253601,0.2682707607746124,1.326738953590393,18,72184
79,LinearCalib,42,0.1637834906578064,0.288147896528244,1.4551897048950195,28,72191
79,LinearCalib,123,0.157939612865448,0.2765357494354248,1.403267502784729,26,72191
79,LinearCalib,456,0.1658037006855011,0.2884192764759063,1.4731389284133911,13,72191
79,LinearCalib,789,0.1432313323020935,0.2638229429721832,1.2725869417190552,25,72191
79,LinearCalib,2026,0.1502434909343719,0.2611850202083587,1.334888935089111,36,72191
79,LinearCalib,11,0.1771476119756698,0.2861208021640777,1.5739277601242063,37,72191
