,Active_Power,GHI,DHI,Temperature,Humidity,Wind_Speed,WD_sin,WD_cos,has_wind,delta_t
2016-11-27 09:15:00,3.531844456990567,793.8389892578134,71.61269632975267,27.427628199259335,12.167175928751666,2.1866457462311,-0.7806471370992223,0.6249720372454979,0,15.0
2016-11-27 09:30:00,4.0125776131948,917.9702758789034,70.563412984212,27.998848597208667,11.968091328938668,2.1866457462311,-0.6222565774129968,0.7828133569799784,0,15.0
2016-11-27 09:45:00,4.2057334582011,970.3183797200533,74.34541066487634,28.218723297119,11.970055898030333,2.1866457462311,-0.2841675292136566,0.9587746426249526,0,15.0
2016-11-27 10:00:00,4.3717335065205996,1011.44669596357,98.83637237548767,29.001940409342335,11.747967720032,2.1866457462311,-0.439381301976669,0.8983006576159717,0,15.0
2016-11-27 10:15:00,4.290377775828033,989.6903889973834,247.82972208658998,28.956121444702333,12.138246854145999,2.1866457462311,-0.5219545457630648,0.8529733009639122,0,15.0
2016-11-27 10:30:00,4.297333319981867,977.0919189453101,237.31699117024667,29.018175125122,12.183725039164,2.1866457462311,-0.39407281423156193,0.919079222419709,0,15.0
2016-11-27 10:45:00,4.974489053090401,1177.9949951172,162.54360961914,29.897731145223332,11.716129938761332,2.1866457462311,-0.4327276364454823,0.9015247044070986,0,15.0
2016-11-27 11:00:00,4.941510836283366,1183.0132649739667,120.32939147948998,30.455577850341665,11.474375089009333,2.1866457462311,-0.9432667380330658,0.33203593317660607,0,15.0
2016-11-27 11:15:00,4.938155492146801,1193.3539632161335,109.44239044189334,30.720850626627666,11.247680346171,2.1866457462311,-0.6114904031160279,0.7912518479580302,0,15.0
2016-11-27 11:30:00,4.801977634429966,1137.4344482422,93.89755249023567,30.769616444905665,11.264806429544999,2.1866457462311,-0.8532694756195695,0.5214702311502594,0,15.0
2016-11-27 11:45:00,4.768088817596433,1115.1050211588333,117.95330556233667,31.127754847209,11.075990994771333,2.1866457462311,-0.9000737671924958,0.4357375512988396,0,15.0
2016-11-27 12:00:00,4.993200302124033,1189.3490397135333,72.645492553711,31.593322753906335,10.800285021464,2.1866457462311,-0.9818448106990958,0.18968597128743256,0,15.0
2016-11-27 12:15:00,5.0044223467509,1191.8607177734332,74.05743916829432,31.720954259236663,10.661951382955,2.1866457462311,-0.7817860630294127,0.6235467517780613,0,15.0
2016-11-27 12:30:00,4.966311136881533,1186.7471110026333,72.46110534667933,31.611796696980665,10.688874880472667,2.1866457462311,-0.7365951825446101,0.6763338946497303,0,15.0
2016-11-27 12:45:00,4.9598668416341,1177.4555257161667,73.98792012532566,32.01010004679367,10.439238230387334,2.1866457462311,-0.991118199059464,0.13298389185583656,0,15.0
2016-11-27 13:00:00,4.961778004964167,1167.9455973307333,70.459732055664,32.47630055745433,10.181044578552333,2.1866457462311,-0.995569632109976,0.09402716426866782,0,15.0
2016-11-27 13:15:00,4.850466569264733,1158.2728271484666,74.407745361328,32.102896372477,10.241065025329334,2.1866457462311,-0.9493567851675611,0.31420008665866606,0,15.0
2016-11-27 13:30:00,4.765444278717033,1143.6133219400665,83.40632375081367,32.73979949951166,9.7998482386271,2.1866457462311,-0.9511509478870841,0.3087262125792065,0,15.0
2016-11-27 13:45:00,4.663755734761566,1120.6972249349,92.46592458089167,32.68464024861667,9.602550506591799,2.1866457462311,-0.6556025247763759,0.7551061710162628,0,15.0
2016-11-27 14:00:00,4.550488948822033,1076.6809488932333,91.61424001057934,33.14860661824567,9.383951505025232,2.1866457462311,-0.8953937570147595,0.44527521815052057,0,15.0
2016-11-27 14:15:00,4.429866472880067,1035.3108317057333,88.21220143636067,33.30411275227866,9.252028147379567,2.1866457462311,-0.9840440147215819,0.1779252008306616,0,15.0
2016-11-27 14:30:00,4.311555703481033,994.4995727539234,85.18935648600267,33.412066141764335,9.017191569010434,2.1866457462311,-0.9960180747443736,0.08915152709018175,0,15.0
2016-11-27 14:45:00,4.1346664428711,944.0450846354166,76.83244578043633,33.15207544962566,9.144020398457867,2.1866457462311,-0.6629764728084864,0.7486402316883713,0,15.0
2016-11-27 15:00:00,3.9479112625122,887.0273030598934,72.16582743326832,33.31514739990234,9.055397351582833,2.1866457462311,-0.8408858806696958,0.5412124681586244,0,15.0
2016-11-27 15:15:00,3.773288885752367,838.8779296875,68.92719523111965,33.606753031412666,8.938190460205066,2.1866457462311,-0.9757535096996868,-0.21887231051173014,0,15.0
2016-11-27 15:30:00,3.5656222502390666,789.1801961263033,75.55206298828134,33.27810160319033,8.925790786743166,2.1866457462311,-0.9762909920599213,-0.21646223417181704,0,15.0
2016-11-27 15:45:00,3.2994000116984004,728.1213582356767,70.24499766031899,33.909505208332995,8.632690747578934,2.1866457462311,-0.9292751387740167,-0.36938830037852044,0,15.0
2016-11-27 16:00:00,3.0407335758209335,666.9322509765633,68.84995015462233,33.467658996582,8.7718868255615,2.1866457462311,-0.6690642373883391,-0.7432045790009372,0,15.0
2016-11-27 16:15:00,2.742488861084,611.73681640625,62.33225886027,33.724302927653,8.610103607177734,2.1866457462311,-0.9999629616910003,0.008606697750191218,0,15.0
2016-11-27 16:30:00,2.429244438807167,549.71464029948,65.70818583170599,33.01579538981133,8.822343508402499,2.1866457462311,-0.9900244056863501,-0.14089597632789005,0,15.0
2016-11-27 16:45:00,2.0846444765726666,482.5873718261733,58.248221079508674,32.876403808593665,8.852169990539567,2.1866457462311,-0.9997202294344394,0.02365296724624555,0,15.0
2016-11-27 17:00:00,1.7238444884617998,418.62875366211,54.846332550049,32.955462137858,8.754446347554566,2.1866457462311,-0.9723748523546932,-0.23342481982040497,0,15.0
2016-11-27 17:15:00,1.3528889417648002,354.72022501627333,47.873129526774,32.689317067464,8.8187856674194,2.1866457462311,-0.9999556492665946,0.009418041188232418,0,15.0
2016-11-27 17:30:00,0.9834666450818333,294.80044555664,45.23401006062833,32.31454722086567,8.952135403950999,2.1866457462311,-0.9247635076536898,-0.3805423168480006,0,15.0
2016-11-27 17:45:00,0.63313333193461,233.03381856282667,42.407391866048336,32.177722930908,8.910976727803567,2.1866457462311,-0.9643357499985342,-0.264682000284803,0,15.0
2016-11-27 18:00:00,0.3397555450598433,172.21444193522333,37.713919321696004,31.798796335856334,8.987108230590833,2.1866457462311,-0.9989512789256328,0.045785831136307305,0,15.0
2016-11-27 18:15:00,0.14051111539204666,108.61967468261467,33.13120269775367,31.516784667968665,9.085516929626467,2.1866457462311,-0.9720781667443541,0.23465727719151522,0,15.0
2016-11-27 18:30:00,0.07213332752386734,29.299962997436666,28.173418045044,30.986698150634666,9.276180585225434,2.1866457462311,-0.9989405743168113,-0.04601878946255857,0,15.0
2016-11-27 18:45:00,0.040822214757402664,18.119641304016334,17.323068618774,30.45456695556633,9.583249727884933,2.1866457462311,-0.9548857493064686,0.29697340919924775,0,15.0
2016-11-27 19:00:00,0.0046222223124157994,9.770012696583933,9.522246996561767,29.820583979288667,9.925240198771034,2.1866457462311,-0.9636170246073829,0.2672867933265963,0,15.0
2016-11-27 19:15:00,0.0,0.0,4.686576286951699,28.781505584716665,10.581250190735,2.1866457462311,-0.9971463991482716,0.07549210995617865,0,15.0
2016-11-27 19:30:00,0.0,0.0,2.662519852320367,28.072261174519998,11.020667394002333,2.1866457462311,-0.9890480658724405,-0.14759377830377704,0,15.0
2016-11-27 19:45:00,0.0,0.0,1.8609296480814665,27.445865631103334,11.434108734131001,2.1866457462311,-0.9540326702386777,-0.2997026261434132,0,15.0
2016-11-27 21:45:00,0.0,0.0,1.7094128529230666,20.363438924153332,20.358572642008667,2.1866457462311,-0.7050014482403726,0.7092058643151347,0,120.0
2016-11-27 23:45:00,0.0,0.0,1.4151671727498334,18.093991597493332,23.974429448445665,2.1866457462311,-0.5962308044254941,0.8028130715516085,0,120.0
2016-11-28 01:45:00,0.0,0.0,1.17600776751835,15.707104047139666,30.583498636881668,2.1866457462311,-0.284337579273112,0.9587242257360074,0,120.0
2016-11-28 03:45:00,0.0,0.0,0.8302104473114134,14.321847597757667,31.670130411783664,2.1866457462311,-0.25981837576352784,0.9656575022313048,0,120.0
2016-11-28 05:15:00,0.0,0.0,1.2925239006678333,12.407144864400001,39.212474822998,2.1866457462311,-0.4676105400451395,0.8839346032590267,0,90.0
2016-11-28 05:30:00,0.0,0.0,2.5985291004180664,12.169356981913333,40.288009643554666,2.1866457462311,-0.9816801292401209,0.1905364108381896,0,15.0
2016-11-28 05:45:00,0.013799999219676,10.0464445749917,8.0290509859721,11.945850690205667,42.23013814290366,2.1866457462311,-0.9770307911354271,-0.21309817731102554,0,15.0
2016-11-28 06:00:00,0.054133324573437336,34.258408228556334,12.120039621988832,12.450910886128668,42.013750712076664,2.1866457462311,-0.9099839464247815,0.4146434821014075,0,15.0
2016-11-28 06:15:00,0.07913333425919233,23.688734054565334,19.029003779093333,13.834847768148,37.896085103352995,2.1866457462311,0.521431524168044,-0.8532931299405795,0,15.0
2016-11-28 06:30:00,0.19391112526257667,38.36260286966967,20.330390294392668,15.535445213317667,35.075051625569664,2.1866457462311,-0.36608127611681046,0.9305828814655294,0,15.0
2016-11-28 06:45:00,0.4384889205296833,126.95963668823167,19.33826192220067,17.900632222493332,30.517798105875332,2.1866457462311,-0.31053122624975593,0.9505631791332035,0,15.0
2016-11-28 07:00:00,0.77137776215871,276.81547546387,22.811036427815665,20.716145833333332,24.214656829834002,2.1866457462311,-0.8833453640249623,0.46872269825090274,0,15.0
2016-11-28 07:15:00,1.1453999280929665,355.19387817383,28.747010548909333,24.633248011270997,15.118184089660666,2.1866457462311,-0.7126756595554158,0.7014936951086966,0,15.0
