site,scale,config,seed,ep,val_mse,test_mse
212,1.0,cand_wide,42,16,0.0812687948346138,0.14315833151340485
212,1.0,cand_wide,123,16,0.07936714589595795,0.14278444647789001
212,1.0,cand_wide,456,16,0.07696467638015747,0.14092481136322021
212,1.0,cand_wide,789,16,0.0848851129412651,0.1548154652118683
212,1.0,cand_wide,2026,16,0.07303624600172043,0.14035755395889282
212,1.0,cand_wide,11,16,0.07542595267295837,0.1425568163394928
212,1.0,cand_wide,22,16,0.08096083253622055,0.1548103392124176
212,1.0,cand_wide,33,16,0.07803625613451004,0.14363980293273926
212,1.0,cand_wide,44,16,0.08182571083307266,0.14961375296115875
212,1.0,cand_wide,55,16,0.08078636229038239,0.14242468774318695
