site,config,seed,norm_MSE,norm_MAE,raw_MSE
Zone_J1,M5_NoLSTM,123,0.14554555714130402,0.2799654006958008,
Zone_J1,M5_NoLSTM,456,0.12819939851760864,0.26131996512413025,
Zone_J1,M5_NoLSTM,789,0.14772754907608032,0.2801818549633026,
Zone_J1,M5_NoLSTM,2026,0.15117578208446503,0.2958407998085022,
Zone_J1,M5_NoLSTM,11,0.1498260200023651,0.2807628810405731,
Zone_J1,M5_NoLSTM,22,0.1348545402288437,0.26149263978004456,
Zone_J1,M5_NoLSTM,33,0.14053088426589966,0.27973368763923645,
Zone_J1,M5_NoLSTM,44,0.1387762725353241,0.2757662534713745,
Zone_J1,M5_NoLSTM,55,0.1311832070350647,0.26715943217277527,
UG3,FC_NoLSTM,42,0.15665005147457123,0.2908641993999481,
UG3,FC_NoLSTM,123,0.14904429018497467,0.2803965210914612,
UG3,FC_NoLSTM,456,0.15592186152935028,0.2921657860279083,
UG3,FC_NoLSTM,789,0.16064894199371338,0.2990477383136749,
UG3,FC_NoLSTM,2026,0.16998204588890076,0.3173026442527771,
UG3,FC_NoLSTM,11,0.1803574413061142,0.3295723795890808,
UG3,FC_NoLSTM,22,0.17846128344535828,0.3253929316997528,
UG3,FC_NoLSTM,33,0.15519335865974426,0.28644055128097534,
UG3,FC_NoLSTM,44,0.1574566513299942,0.29318296909332275,
UG3,FC_NoLSTM,55,0.17829447984695435,0.3179703950881958,
UG3,M5_NoLSTM,42,0.17017483711242676,0.31924158334732056,
UG3,M5_NoLSTM,123,0.15322960913181305,0.29464223980903625,
UG3,M5_NoLSTM,456,0.1469556838274002,0.27859845757484436,
UG3,M5_NoLSTM,789,0.14260555803775787,0.27118322253227234,
UG3,M5_NoLSTM,2026,0.16119274497032166,0.3069084584712982,
UG3,M5_NoLSTM,11,0.14207838475704193,0.27687597274780273,
UG3,M5_NoLSTM,22,0.16122840344905853,0.3062649369239807,
UG3,M5_NoLSTM,33,0.1438256949186325,0.274396687746048,
UG3,M5_NoLSTM,44,0.15164893865585327,0.2846153974533081,
UG3,M5_NoLSTM,55,0.1649223119020462,0.3139156103134155,
SQ2,FC_NoLSTM,42,0.11570334434509277,0.2593483626842499,
SQ2,FC_NoLSTM,123,0.11336309462785721,0.2474544197320938,
SQ2,FC_NoLSTM,456,0.11826835572719574,0.2602907121181488,
SQ2,FC_NoLSTM,789,0.11945370584726334,0.2658059895038605,
SQ2,FC_NoLSTM,2026,0.12372122704982758,0.2588724195957184,
SQ2,FC_NoLSTM,11,0.12466312199831009,0.2747304141521454,
SQ2,FC_NoLSTM,22,0.12231656163930893,0.2703033685684204,
SQ2,FC_NoLSTM,33,0.11999625712633133,0.26511746644973755,
SQ2,FC_NoLSTM,44,0.12538035213947296,0.2724876403808594,
